FullAddress,Latitude,Longitude
"60657, Chicago, IL",41.9403795,-87.65318049999999
"75070, McKinney, TX",33.1593743,-96.68058839999999
"77494, Katy, TX",29.742025,-95.8248352
"60614, Chicago, IL",41.9203468,-87.6433139
"79936, El Paso, TX",31.7599791,-106.287521
"77084, Houston, TX",29.8296506,-95.6668306
"10467, New York, NY",40.8723987,-73.8713099
"60640, Chicago, IL",41.9703133,-87.663045
"77449, Katy, TX",29.8260177,-95.7510475
"94109, San Francisco, CA",37.7929789,-122.4212424
"11226, New York, NY",40.6470923,-73.9536163
"32162, The Villages, FL",28.9121162,-81.986206
"11375, New York, NY",40.7245678,-73.8457658
"11235, New York, NY",40.5860069,-73.9418603
"37013, Nashville, TN",36.0207224,-86.6409554
"90250, Hawthorne, CA",33.9127807,-118.3520389
"60647, Chicago, IL",41.9215421,-87.70248169999999
"37211, Nashville, TN",36.0769945,-86.7114545
"78660, Pflugerville, TX",30.4332061,-97.60057859999999
"60618, Chicago, IL",41.9464283,-87.70740889999999
"10128, New York, NY",40.7826039,-73.9506774
"77573, League City, TX",29.4947986,-95.09110620000001
"77584, Pearland, TX",29.5321026,-95.3207069
"28269, Charlotte, NC",35.3352529,-80.7990185
"79912, El Paso, TX",31.8586994,-106.5466221
"78572, Mission, TX",26.2159066,-98.32529319999999
"94565, Pittsburg, CA",38.0182853,-121.9245556
"30349, Riverdale, GA",33.5726113,-84.4132594
"20002, Washington, DC",38.9052763,-76.98158769999999
"90046, Los Angeles, CA",34.1147313,-118.3637264
"78130, New Braunfels, TX",29.7049806,-98.06834300000001
"78613, Cedar Park, TX",30.5119418,-97.8177601
"20009, Washington, DC",38.9191485,-77.0362967
"75052, Grand Prairie, TX",32.67942,-97.0283383
"10462, New York, NY",40.8382522,-73.8566087
"37042, Clarksville, TN",36.5604306,-87.4405786
"77429, Cypress, TX",30.0141064,-95.6668306
"63376, Saint Peters, MO",38.7874699,-90.6298922
"60613, Chicago, IL",41.9577761,-87.6556468
"77479, Sugar Land, TX",29.5662952,-95.6142558
"30044, Lawrenceville, GA",33.9327331,-84.0695961
"73099, Yukon, OK",35.5067215,-97.76254410000001
"77036, Houston, TX",29.702465,-95.53548160000001
"77433, Cypress, TX",29.9643725,-95.7510475
"10463, New York, NY",40.8803247,-73.9095279
"11230, New York, NY",40.6190629,-73.96537150000002
"60629, Chicago, IL",41.7727709,-87.7123355
"11209, New York, NY",40.6212119,-74.03294989999999
"60625, Chicago, IL",41.9711068,-87.70248169999999
"30043, Lawrenceville, GA",33.9963181,-84.0061661
"75034, Frisco, TX",33.1376528,-96.85654269999999
"11212, New York, NY",40.6639181,-73.9154069
"75287, Dallas, TX",32.9985237,-96.84046
"28277, Charlotte, NC",35.0535496,-80.82116959999999
"85032, Phoenix, AZ",33.6364503,-112.0118669
"7030, Hoboken, NJ",40.744052,-74.0270745
"11214, New York, NY",40.6046106,-73.9982756
"21234, Parkville, MD",39.3773292,-76.5396875
"33160, Sunny Isles Beach, FL",25.9428707,-80.1233802
"78521, Brownsville, TX",25.9739925,-97.33005299999999
"23464, Virginia Beach, VA",36.7973473,-76.18996609999999
"77077, Houston, TX",29.7451163,-95.61951119999999
"94501, Alameda, CA",37.7712165,-122.2824021
"30096, Duluth, GA",33.9812131,-84.15406589999999
"78704, Austin, TX",30.24567279999999,-97.76883579999999
"98052, Redmond, WA",47.6701193,-122.118237
"77379, Tomball, TX",30.0314279,-95.5302337
"75243, Dallas, TX",32.9087285,-96.7386946
"11221, New York, NY",40.6903213,-73.9271644
