FullAddress,Latitude,Longitude
"14607, Rochester, NY",43.1480375,-77.590597
"19107, Philadelphia, PA",39.9559288,-75.1574567
"67216, Wichita, KS",37.613743,-97.31925419999999
"75455, Mount Pleasant, TX",33.1567863,-94.96826899999999
"64081, Lees Summit, MO",38.9119463,-94.4136213
"33067, Coral Springs, FL",26.3088869,-80.2209773
"44138, Olmsted Falls, OH",41.375049,-81.9081937
"80831, Peyton, CO",39.0284685,-104.4841284
"77098, Houston, TX",29.7333171,-95.417519
"45440, Kettering, OH",39.6720868,-84.0960056
"90062, Los Angeles, CA",34.0031792,-118.3082034
"74701, Durant, OK",33.9924186,-96.39712329999999
"95121, San Jose, CA",37.302108,-121.8050125
"32763, Orange City, FL",28.9392593,-81.30693149999999
"91740, Glendora, CA",34.1194758,-117.848726
"2186, Milton, MA",42.233283,-71.0854325
"30248, Locust Grove, GA",33.3459495,-84.109083
"85085, Phoenix, AZ",33.76353539999999,-112.0714835
"1867, Reading, MA",42.5412689,-71.10920120000002
"30307, Atlanta, GA",33.7724417,-84.3279093
"98516, Lacey, WA",47.1139164,-122.7708828
"27549, Louisburg, NC",36.0990393,-78.30110599999999
"86404, Lake Havasu City, AZ",34.6476577,-114.2865991
"86403, Lake Havasu City, AZ",34.4788404,-114.3460283
"14216, Buffalo, NY",42.9474532,-78.8637428
"33584, Seffner, FL",27.9836329,-82.27564679999999
"8638, Ewing, NJ",40.2518754,-74.7629661
"64052, Independence, MO",39.0747341,-94.4542311
"76126, Benbrook, TX",32.673188,-97.4605759
"84009, South Jordan, UT",40.5584836,-112.0178286
"77043, Houston, TX",29.8054835,-95.5564777
"84105, Salt Lake City, UT",40.7345053,-111.8628205
"63379, Troy, MO",38.9794922,-90.9806954
"34103, Naples, FL",26.1917113,-81.806039
"90680, Stanton, CA",33.80248220000001,-117.9930967
"28037, Denver, NC",35.5316576,-81.0295793
"97470, Roseburg, OR",43.216505,-123.3417381
"75001, Addison, TX",32.9654778,-96.8297403
"98008, Bellevue, WA",47.6120759,-122.1112721
"47250, Madison, IN",38.7358933,-85.37995769999999
"91302, Calabasas, CA",34.1307949,-118.6848112
"14228, Amherst, NY",43.0378104,-78.78162189999999
"75201, Dallas, TX",32.788993,-96.7989312
"36801, Opelika, AL",32.7008882,-85.37562489999999
"23324, Chesapeake, VA",36.8022774,-76.2768755
"71909, Hot Springs Village, AR",34.6268402,-92.99755929999999
"41071, Newport, KY",39.0710535,-84.485507
"27527, Clayton, NC",35.6325169,-78.36146719999999
"34772, Saint Cloud, FL",28.1816134,-81.22985299999999
"6877, Ridgefield, CT",41.2928979,-73.48872879999999
"99354, Richland, WA",46.3410986,-119.3036548
"55446, Plymouth, MN",45.0497462,-93.4824636
"22150, Springfield, VA",38.7742151,-77.1887747
